dataset,group,scene,crop,method,zone,solver_status,zone_geometry_available,finite_primary_metric_fraction,any_primary_metric_available,all_primary_metrics_available,primary_metric_count
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj3_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P100,Sparse,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj3_d000441_300_050_2026-06-15_21-41-45,Retuned P95,Overall,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj3_d000441_300_050_2026-06-15_21-41-45,Retuned P95,Dense,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj3_d000441_300_050_2026-06-15_21-41-45,Retuned P95,Sparse,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj3_d000441_300_050_2026-06-15_21-41-45,Retuned P100,Overall,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj3_d000441_300_050_2026-06-15_21-41-45,Retuned P100,Dense,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj3_d000441_300_050_2026-06-15_21-41-45,Retuned P100,Sparse,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Legacy control,Overall,legacy,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Legacy control,Dense,legacy,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Legacy control,Sparse,legacy,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P95,Overall,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P95,Dense,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P95,Sparse,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P100,Overall,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P100,Dense,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P100,Sparse,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Retuned P95,Overall,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Retuned P95,Dense,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Retuned P95,Sparse,exact,True,0.25,True,False,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Retuned P100,Overall,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Retuned P100,Dense,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj1_d000442_300_063_2026-06-16_01-53-04,Retuned P100,Sparse,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Legacy control,Overall,legacy,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Legacy control,Dense,legacy,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Legacy control,Sparse,legacy,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P95,Overall,collapsed,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P95,Dense,collapsed,False,0.0,False,False,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P95,Sparse,collapsed,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P100,Overall,collapsed,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P100,Dense,collapsed,False,0.0,False,False,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P100,Sparse,collapsed,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Retuned P95,Overall,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Retuned P95,Dense,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Retuned P95,Sparse,exact,True,0.25,True,False,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Retuned P100,Overall,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Retuned P100,Dense,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj2_d000442_300_063_2026-06-16_01-53-04,Retuned P100,Sparse,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Legacy control,Overall,legacy,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Legacy control,Dense,legacy,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Legacy control,Sparse,legacy,True,1.0,True,True,4
